appearance_id,game_id,player_id,player_club_id,player_current_club_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
2871992_89591,2871992,89591,42,82,2017-11-19,Felix Klaus,L1,0,0,0,0,90
3597856_475949,3597856,475949,306,2778,2021-09-26,Benjamin Nygren,NL1,0,0,0,0,29
3252469_85922,3252469,85922,413,2293,2019-10-24,Petar Filipovic,EL,0,0,0,0,90
3223004_109197,3223004,109197,10482,520,2019-08-01,Márton Eppel,ELQ,1,0,0,0,24
3610363_62945,3610363,62945,2687,2687,2022-02-19,Luis Hernández,ES1,0,0,0,0,90
2872248_274839,2872248,274839,1003,1003,2017-11-28,Wilfred Ndidi,GB1,0,0,0,1,90
3838721_183293,3838721,183293,989,989,2023-03-11,Joe Rothwell,GB1,0,0,0,0,90
2646276_57530,2646276,57530,511,511,2016-02-12,Thomas Konrad,SC1,0,0,0,0,90
3433306_146752,3433306,146752,4171,2919,2020-12-20,Gianluca Caprari,IT1,1,0,0,0,79
2483468_133829,2483468,133829,420,24245,2014-08-28,Tomislav Glumac,EL,0,0,0,0,90
2699230_156779,2699230,156779,109,79,2016-08-21,Erik Thommy,DFB,0,0,0,0,120
3836616_668709,3836616,668709,10532,1063,2022-07-07,Martin Agnarsson,ECLQ,0,0,0,0,58
2899707_73185,2899707,73185,897,1108,2017-12-17,Lucas Pérez,ES1,0,0,0,0,90
2482266_157500,2482266,157500,1162,2672,2014-12-06,Lenny Nangis,FR1,0,0,1,1,90
3326426_128931,3326426,128931,605,605,2020-03-04,Giannis Fetfatzidis,GRP,0,0,0,0,52
3648244_495917,3648244,495917,21903,2740,2021-08-31,Ivan Ponomarenko,UKRP,0,0,0,0,120
3302951_230985,3302951,230985,1096,1184,2020-02-29,Simen Jukleröd,BE1,0,0,0,0,90
2904790_483718,2904790,483718,2227,8838,2017-09-20,Oleksandr Zozulya,UKRP,0,0,0,0,44
3205081_58427,3205081,58427,8031,48332,2019-07-11,Kyrylo Petrov,ELQ,0,0,0,0,90
3612891_605266,3612891,605266,1467,1467,2021-09-22,Yalcin Kayan,TR1,0,0,0,0,63
3050458_55742,3050458,55742,603,703,2019-03-09,Harry Arter,GB1,1,0,0,0,84
2609789_149551,2609789,149551,1162,1158,2016-04-02,Jonathan Delaplace,FR1,0,0,0,0,66
3058409_187624,3058409,187624,4,79,2018-08-25,Fabian Bredlow,L1,0,0,0,0,90
2814295_128898,2814295,128898,2805,631,2017-01-28,Jamal Blackman,FAC,0,0,0,0,90
3840016_51118,3840016,51118,1095,1095,2022-09-04,Adil Rami,FR1,0,0,0,0,56
2618791_52406,2618791,52406,2698,2698,2015-12-10,Carlos Eduardo,EL,0,0,0,0,90
3429764_74300,3429764,74300,873,873,2021-03-13,Luka Milivojevic,GB1,0,0,1,0,90
2581209_63422,2581209,63422,2778,2778,2015-07-26,David Moberg Karlsson,DK1,0,0,0,0,66
2630716_190911,2630716,190911,5220,128,2015-12-03,Khassa Camara,GRP,0,0,1,0,90
3959876_357658,3959876,357658,989,989,2022-12-20,Mark Travers,CGB,0,0,0,0,90
